id,codigo,nombre,descripcion,categoria,subcategoria,precio,stock,calificacion_promedio,total_resenas,url
1,PROD-001,Apple iPhone 15 Pro Max 256GB,"Smartphone premium con chip A17 Pro fabricado en 3nm, camara triple de 48MP con teleobjetivo periscopico de 5x y pantalla Super Retina XDR de 6.7 pulgadas con ProMotion a 120Hz. Cuenta con marco de titanio, Dynamic Island, puerto USB-C y resistencia al agua IP68.",Smartphones,Gama Alta,5599,18,3.5,4,http://localhost:3000/productos/1
2,PROD-002,Apple iPhone 15 128GB,"Smartphone con chip A16 Bionic, camara dual de 48MP con modo retrato mejorado y Dynamic Island para notificaciones interactivas. Incluye pantalla Super Retina XDR de 6.1 pulgadas, puerto USB-C y proteccion Ceramic Shield.",Smartphones,Gama Alta,3799,25,3.3,4,http://localhost:3000/productos/2
3,PROD-003,Samsung Galaxy S24 Ultra 512GB,"Smartphone con S Pen integrado, camara cuadruple de 200MP con zoom optico de 5x y pantalla Dynamic AMOLED 2X de 6.8 pulgadas a 120Hz. Incorpora marco de titanio, funciones de inteligencia artificial Galaxy AI y resistencia IP68.",Smartphones,Gama Alta,5299,15,3.3,4,http://localhost:3000/productos/3
4,PROD-004,Samsung Galaxy A55 128GB,"Smartphone de gama media con pantalla Super AMOLED de 6.6 pulgadas a 120Hz y camara principal de 50MP con estabilizacion optica. Cuenta con procesador Exynos 1480, certificacion IP67 y bateria de 5000mAh con carga rapida de 25W.",Smartphones,Gama Media,1399,40,3,4,http://localhost:3000/productos/4
5,PROD-005,Xiaomi Redmi Note 13 Pro 256GB,"Smartphone con camara principal de 200MP, pantalla AMOLED curva de 6.67 pulgadas a 120Hz y carga rapida de 67W. Incluye certificacion IP54 contra salpicaduras y sonido estereo con Dolby Atmos.",Smartphones,Gama Media,999,45,2.8,4,http://localhost:3000/productos/5
6,PROD-006,Xiaomi Poco X6 Pro 512GB,"Smartphone con procesador Dimensity 8300 Ultra, pantalla AMOLED 1.5K a 120Hz y sistema de camaras coeditado con Leica. Incorpora carga rapida de 67W y disipacion de calor mejorada para sesiones largas de juego.",Smartphones,Gama Media,1299,30,2.6,5,http://localhost:3000/productos/6
7,PROD-007,Google Pixel 8 128GB,Smartphone con chip Google Tensor G3 y camara computacional avanzada con Magic Editor para retocar fotos con inteligencia artificial. Ofrece pantalla Actua de 6.2 pulgadas a 120Hz y hasta 7 anos de actualizaciones de Android garantizadas.,Smartphones,Gama Alta,2899,12,3.3,4,http://localhost:3000/productos/7
8,PROD-008,Motorola Moto G84 256GB,Smartphone con pantalla pOLED Full HD+ de 6.5 pulgadas a 120Hz y bateria de 5000mAh con carga rapida de 30W. Cuenta con certificacion IP54 y sonido estereo Dolby Atmos.,Smartphones,Gama Basica,899,35,3,4,http://localhost:3000/productos/8
9,PROD-009,Samsung Galaxy A15 128GB,Smartphone de entrada con pantalla Super AMOLED de 6.5 pulgadas y triple camara trasera de 50MP. Incluye bateria de 5000mAh y proteccion Gorilla Glass en la pantalla.,Smartphones,Gama Basica,699,50,1.8,5,http://localhost:3000/productos/9
10,PROD-010,OnePlus 12 256GB,"Smartphone con Snapdragon 8 Gen 3, pantalla LTPO AMOLED de 6.82 pulgadas a 120Hz y sistema de camaras coeditado con Hasselblad. Incluye carga SuperVOOC de 100W y carga inalambrica de 50W.",Smartphones,Gama Alta,3299,10,3.5,4,http://localhost:3000/productos/10
11,PROD-011,Apple MacBook Air M2 13 pulgadas 256GB,"Laptop ultradelgada con chip Apple M2 de 8 nucleos, 8GB de RAM unificada y pantalla Liquid Retina de 13.6 pulgadas. Pesa 1.24kg, no tiene ventilador y ofrece hasta 18 horas de autonomia de bateria.",Laptops y Computadoras,Ultrabooks,4999,14,3.3,4,http://localhost:3000/productos/11
12,PROD-012,Apple MacBook Pro 14 pulgadas M3 512GB,"Laptop profesional con chip M3, 8GB de RAM unificada y pantalla Liquid Retina XDR de 14.2 pulgadas con brillo maximo de 1600 nits. Incluye tres puertos Thunderbolt 4, ranura para tarjeta SD y hasta 18 horas de bateria.",Laptops y Computadoras,Ultrabooks,8999,8,4,5,http://localhost:3000/productos/12
13,PROD-013,Dell XPS 13 9340 Intel Core i7,"Ultrabook con procesador Intel Core i7 de 13a generacion, 16GB de RAM y pantalla InfinityEdge de 13.4 pulgadas con marcos ultra delgados. Cuenta con chasis de aluminio mecanizado CNC y teclado retroiluminado.",Laptops y Computadoras,Ultrabooks,6499,9,2.8,4,http://localhost:3000/productos/13
14,PROD-014,HP Pavilion 15 Intel Core i5,"Laptop para uso general con procesador Intel Core i5, 8GB de RAM y SSD de 512GB. Incluye pantalla Full HD de 15.6 pulgadas, teclado numerico y bateria de hasta 10 horas.",Laptops y Computadoras,Uso General,2799,22,3,5,http://localhost:3000/productos/14
15,PROD-015,Lenovo IdeaPad Slim 3 Ryzen 5,"Laptop liviana con procesador AMD Ryzen 5, 8GB de RAM y pantalla Full HD de 15.6 pulgadas, ideal para oficina y estudio. Pesa menos de 1.7kg e incluye lector de huella digital para inicio de sesion rapido.",Laptops y Computadoras,Uso General,1999,28,2.8,4,http://localhost:3000/productos/15
16,PROD-016,ASUS ROG Strix G16 RTX 4060,"Laptop gamer con procesador Intel Core i7, tarjeta grafica RTX 4060 con 8GB GDDR6 y pantalla de 165Hz Full HD. Incluye sistema de refrigeracion de camara termica dual y teclado RGB por tecla.",Laptops y Computadoras,Gaming,7499,7,3.4,5,http://localhost:3000/productos/16
17,PROD-017,Lenovo Legion 5 Pro RTX 4070,"Laptop gamer con AMD Ryzen 7, RTX 4070 con 8GB GDDR6 y pantalla QHD de 165Hz con calibracion de fabrica. Incorpora sistema de refrigeracion Legion Coldfront y soporte para Wi-Fi 6E.",Laptops y Computadoras,Gaming,8299,6,3.3,4,http://localhost:3000/productos/17
18,PROD-018,Acer Aspire 5 Intel Core i5,"Laptop versatil con procesador Intel Core i5 de 13a generacion, 16GB de RAM y SSD de 512GB. Incluye pantalla Full HD de 15.6 pulgadas y lector de huella digital integrado.",Laptops y Computadoras,Uso General,2299,20,4,3,http://localhost:3000/productos/18
